"A"	"B"	"type"
"KRAS"	"OR4K1"	"Synthetic Lethality"
"KRAS"	"OSBPL9"	"Synthetic Lethality"
"KRAS"	"PARP12"	"Synthetic Lethality"
"KRAS"	"PHF7"	"Synthetic Lethality"
"KRAS"	"PHKBP2"	"Synthetic Lethality"
"KRAS"	"PIN1"	"Synthetic Lethality"
"KRAS"	"PINK1"	"Synthetic Lethality"
"KRAS"	"PIP4K2A"	"Synthetic Lethality"
"KRAS"	"PLA2G2A"	"Synthetic Lethality"
"KRAS"	"PLK1"	"Synthetic Lethality"
"KRAS"	"PNPLA4"	"Synthetic Lethality"
"KRAS"	"POLA1"	"Synthetic Lethality"
"KRAS"	"POLM"	"Synthetic Lethality"
"KRAS"	"POLR3B"	"Synthetic Lethality"
"KRAS"	"POLR3F"	"Synthetic Lethality"
"KRAS"	"PON2"	"Synthetic Lethality"
"KRAS"	"PPP1R8"	"Synthetic Lethality"
"KRAS"	"PROM1"	"Synthetic Lethality"
"KRAS"	"PSEN1"	"Synthetic Lethality"
"KRAS"	"PSKH2"	"Synthetic Lethality"
"KRAS"	"PSMA5"	"Synthetic Lethality"
"KRAS"	"PSMB5"	"Synthetic Lethality"
"KRAS"	"PSMB6"	"Synthetic Lethality"
"KRAS"	"PSMD12"	"Synthetic Lethality"
"KRAS"	"PTPN1"	"Synthetic Lethality"
"KRAS"	"QARS"	"Synthetic Lethality"
"KRAS"	"RCHY1"	"Synthetic Lethality"
"KRAS"	"RELN"	"Synthetic Lethality"
"KRAS"	"RFX4"	"Synthetic Lethality"
"KRAS"	"RHBDL2"	"Synthetic Lethality"
"KRAS"	"RIMS1"	"Synthetic Lethality"
"KRAS"	"RLF"	"Synthetic Lethality"
"KRAS"	"RNF40"	"Synthetic Lethality"
"KRAS"	"RPA2"	"Synthetic Lethality"
"KRAS"	"RQCD1"	"Synthetic Lethality"
"KRAS"	"RRP9"	"Synthetic Lethality"
"KRAS"	"RRS1"	"Synthetic Lethality"
"KRAS"	"RSBN1"	"Synthetic Lethality"
"KRAS"	"RTN2"	"Synthetic Lethality"
"KRAS"	"SAE1"	"Synthetic Lethality"
"KRAS"	"SDCCAG8"	"Synthetic Lethality"
"KRAS"	"SEC14L3"	"Synthetic Lethality"
"KRAS"	"SERPINB5"	"Synthetic Lethality"
"KRAS"	"SH2D3A"	"Synthetic Lethality"
"KRAS"	"SH3PXD2B"	"Synthetic Lethality"
"KRAS"	"SHFM1"	"Synthetic Lethality"
"KRAS"	"SLC11A2"	"Synthetic Lethality"
"KRAS"	"SLITRK2"	"Synthetic Lethality"
"KRAS"	"SNAP23"	"Synthetic Lethality"
"KRAS"	"SNRPN"	"Synthetic Lethality"
"KRAS"	"SNW1"	"Synthetic Lethality"
"KRAS"	"SNX2"	"Synthetic Lethality"
"KRAS"	"SPAST"	"Synthetic Lethality"
"KRAS"	"SPATA17"	"Synthetic Lethality"
"KRAS"	"SPTBN5"	"Synthetic Lethality"
"KRAS"	"SPTY2D1"	"Synthetic Lethality"
"KRAS"	"STT3A"	"Synthetic Lethality"
"KRAS"	"SUV39H2"	"Synthetic Lethality"
"KRAS"	"SYPL2"	"Synthetic Lethality"
"KRAS"	"SYTL2"	"Synthetic Lethality"
"KRAS"	"TAS2R62P"	"Synthetic Lethality"
"KRAS"	"TBCD"	"Synthetic Lethality"
"KRAS"	"TEAD2"	"Synthetic Lethality"
"KRAS"	"TGIF2"	"Synthetic Lethality"
"KRAS"	"THOC1"	"Synthetic Lethality"
"KRAS"	"TIMM22"	"Synthetic Lethality"
"KRAS"	"TK2"	"Synthetic Lethality"
"KRAS"	"TMED10"	"Synthetic Lethality"
"KRAS"	"TMEM177"	"Synthetic Lethality"
"KRAS"	"NDC1"	"Synthetic Lethality"
"KRAS"	"VMP1"	"Synthetic Lethality"
"KRAS"	"TOMM20"	"Synthetic Lethality"
"KRAS"	"TPP2"	"Synthetic Lethality"
"KRAS"	"TRIM3"	"Synthetic Lethality"
"KRAS"	"TRIM36"	"Synthetic Lethality"
"KRAS"	"TRIM39"	"Synthetic Lethality"
"KRAS"	"TRIM44"	"Synthetic Lethality"
"KRAS"	"TSPAN15"	"Synthetic Lethality"
"KRAS"	"TSSK1B"	"Synthetic Lethality"
"KRAS"	"TTC21B"	"Synthetic Lethality"
"KRAS"	"TUBGCP4"	"Synthetic Lethality"
"KRAS"	"TWIST1"	"Synthetic Lethality"
"KRAS"	"UBAC2"	"Synthetic Lethality"
"KRAS"	"UBA1"	"Synthetic Lethality"
"KRAS"	"UBE2D1"	"Synthetic Lethality"
"KRAS"	"UBE2I"	"Synthetic Lethality"
"KRAS"	"UBE2M"	"Synthetic Lethality"
"KRAS"	"UBE2R2"	"Synthetic Lethality"
"KRAS"	"UBE3B"	"Synthetic Lethality"
"KRAS"	"UBTF"	"Synthetic Lethality"
"KRAS"	"UQCR10"	"Synthetic Lethality"
"KRAS"	"UHRF2"	"Synthetic Lethality"
"KRAS"	"USP30"	"Synthetic Lethality"
"KRAS"	"USP6"	"Synthetic Lethality"
"KRAS"	"USP9Y"	"Synthetic Lethality"
"KRAS"	"VNN1"	"Synthetic Lethality"
"KRAS"	"VPRBP"	"Synthetic Lethality"
"KRAS"	"WDR36"	"Synthetic Lethality"
"KRAS"	"WDR37"	"Synthetic Lethality"
"KRAS"	"DCAF13"	"Synthetic Lethality"
"KRAS"	"WFDC12"	"Synthetic Lethality"
"KRAS"	"WWC1"	"Synthetic Lethality"
"KRAS"	"XPO1"	"Synthetic Lethality"
"KRAS"	"ZBTB5"	"Synthetic Lethality"
"KRAS"	"ZC3H10"	"Synthetic Lethality"
"KRAS"	"ZC3H13"	"Synthetic Lethality"
"KRAS"	"ZC3H15"	"Synthetic Lethality"
"KRAS"	"ZC3H18"	"Synthetic Lethality"
"KRAS"	"ZC3HAV1L"	"Synthetic Lethality"
"KRAS"	"ZGPAT"	"Synthetic Lethality"
"KRAS"	"ZMAT1"	"Synthetic Lethality"
"KRAS"	"ZNF260"	"Synthetic Lethality"
"KRAS"	"ZNF584"	"Synthetic Lethality"
"MYC"	"UBA2"	"Synthetic Lethality"
"MYC"	"NCOR1"	"Synthetic Lethality"
"MYC"	"RHOBTB1"	"Synthetic Lethality"
"MYC"	"USP33"	"Synthetic Lethality"
"MYC"	"NDUFB10"	"Synthetic Lethality"
"MYC"	"UBE2O"	"Synthetic Lethality"
"MYC"	"SAE1"	"Synthetic Lethality"
"AMFR"	"SYVN1"	"Phenotypic Suppression"
"BAG1"	"SYVN1"	"Phenotypic Suppression"
"FBXW7"	"BUB1B"	"Phenotypic Enhancement"
"FBXW7"	"FGA"	"Synthetic Lethality"
"FBXW7"	"RERE"	"Synthetic Lethality"
"FBXW7"	"GAK"	"Synthetic Lethality"
"FBXW7"	"CPSF1"	"Synthetic Lethality"
"FBXW7"	"OSGIN2"	"Synthetic Lethality"
"FBXW7"	"SPAG11B"	"Synthetic Lethality"
"FBXW7"	"MS4A1"	"Synthetic Lethality"
"FBXW7"	"CDH19"	"Synthetic Lethality"
"FBXW7"	"HERC2P2"	"Synthetic Lethality"
"FBXW7"	"PVRL3"	"Synthetic Lethality"
"FBXW7"	"SUPT6H"	"Synthetic Lethality"
"FBXW7"	"MPPED1"	"Synthetic Lethality"
"FBXW7"	"GAMTP1"	"Synthetic Lethality"
"FBXW7"	"SSBP1"	"Synthetic Lethality"
"FBXW7"	"TXLNGY"	"Synthetic Lethality"
"FBXW7"	"SSH2"	"Synthetic Lethality"
"FBXW7"	"CYBB"	"Synthetic Lethality"
"FBXW7"	"CYLD"	"Synthetic Lethality"
"FBXW7"	"PUF60"	"Synthetic Lethality"
"FBXW7"	"CMIP"	"Synthetic Lethality"
"FBXW7"	"RSBN1L"	"Synthetic Lethality"
"FBXW7"	"C6orf136"	"Synthetic Lethality"
"FBXW7"	"EPOR"	"Synthetic Lethality"
"FBXW7"	"GRM3"	"Synthetic Lethality"
"FBXW7"	"NAPG"	"Synthetic Lethality"
"FBXW7"	"TBX4"	"Synthetic Lethality"
"FBXW7"	"GGCT"	"Synthetic Lethality"
"FBXW7"	"MASTL"	"Synthetic Lethality"
"FBXW7"	"DDO"	"Synthetic Lethality"
"FBXW7"	"KATNAL1"	"Synthetic Lethality"
"FBXW7"	"RSPRY1"	"Synthetic Lethality"
"FBXW7"	"MOCS1"	"Synthetic Lethality"
"FBXW7"	"NDUFB9"	"Synthetic Lethality"
"FBXW7"	"NELFE"	"Synthetic Lethality"
"FBXW7"	"NCOR1"	"Synthetic Lethality"
"FBXW7"	"TRAT1"	"Synthetic Lethality"
"FBXW7"	"EXOSC4"	"Synthetic Lethality"
"FBXW7"	"TMEM126B"	"Synthetic Lethality"
"FBXW7"	"C8orf44"	"Synthetic Lethality"
"FBXW7"	"ACTR5"	"Synthetic Lethality"
"FBXW7"	"C5orf64"	"Synthetic Lethality"
"FBXW7"	"SOX7"	"Synthetic Lethality"
"FBXW7"	"GMDS"	"Synthetic Lethality"
"FBXW7"	"MEP1A"	"Synthetic Lethality"
"FBXW7"	"PTPRN2"	"Synthetic Lethality"
"FBXW7"	"CTDP1"	"Synthetic Lethality"
"FBXW7"	"UBAC1"	"Synthetic Lethality"
"FBXW7"	"NAT8B"	"Synthetic Lethality"
"FBXW7"	"RNPC3"	"Synthetic Lethality"
"FBXW7"	"VPS16"	"Synthetic Lethality"
"FBXW7"	"MTFMT"	"Synthetic Lethality"
"FBXW7"	"ZC3H18"	"Synthetic Lethality"
"FBXW7"	"SPRED1"	"Synthetic Lethality"
"FBXW7"	"SNRNP70"	"Synthetic Lethality"
"FBXW7"	"LETM2"	"Synthetic Lethality"
"FBXW7"	"EBF3"	"Synthetic Lethality"
"FBXW7"	"SPTBN1"	"Synthetic Lethality"
"FBXW7"	"PHF20L1"	"Synthetic Lethality"
"FBXW7"	"CINP"	"Synthetic Lethality"
"FBXW7"	"EIF4E3"	"Synthetic Lethality"
"FBXW7"	"COL1A2"	"Synthetic Lethality"
"FBXW7"	"SLC35A1"	"Synthetic Lethality"
"FBXW7"	"DIDO1"	"Synthetic Lethality"
"FBXW7"	"TNFRSF19"	"Synthetic Lethality"
"FBXW7"	"TMEM65"	"Synthetic Lethality"
"FBXW7"	"LINC00173"	"Synthetic Lethality"
"FBXW7"	"AP2A1"	"Synthetic Lethality"
"FBXW7"	"MED22"	"Synthetic Lethality"
"FBXW7"	"EIF4A3"	"Synthetic Lethality"
"FBXW7"	"TUBA1B"	"Synthetic Lethality"
"FBXW7"	"ZCCHC3"	"Synthetic Lethality"
"FBXW7"	"EFHC1"	"Synthetic Lethality"
"FBXW7"	"DNAJC21"	"Synthetic Lethality"
"FBXW7"	"MMAA"	"Synthetic Lethality"
"FBXW7"	"C5orf51"	"Synthetic Lethality"
"FBXW7"	"LRRTM1"	"Synthetic Lethality"
"FBXW7"	"LCE1B"	"Synthetic Lethality"
"FBXW7"	"COPS6"	"Synthetic Lethality"
"FBXW7"	"FAM32A"	"Synthetic Lethality"
"FBXW7"	"TBCB"	"Synthetic Lethality"
"FBXW7"	"ITGAV"	"Synthetic Lethality"
"FBXW7"	"POLR2K"	"Synthetic Lethality"
"FBXW7"	"SNRPB2"	"Synthetic Lethality"
"FBXW7"	"BARX2"	"Synthetic Lethality"
"FBXW7"	"CTIF"	"Synthetic Lethality"
"FBXW7"	"DUSP16"	"Synthetic Lethality"
"FBXW7"	"OR51V1"	"Synthetic Lethality"
"FBXW7"	"COL12A1"	"Synthetic Lethality"
"FBXW7"	"CDK18"	"Synthetic Lethality"
"FBXW7"	"PTGDS"	"Synthetic Lethality"
"FBXW7"	"SLC17A1"	"Synthetic Lethality"
"FBXW7"	"COPS3"	"Synthetic Lethality"
"FBXW7"	"TRIM58"	"Synthetic Lethality"
"FBXW7"	"ZFR"	"Synthetic Lethality"
"FBXW7"	"SRBD1"	"Synthetic Lethality"
"FBXW7"	"SHROOM4"	"Synthetic Lethality"
"FBXW7"	"RALYL"	"Synthetic Lethality"
"FBXW7"	"NUDT4P1"	"Synthetic Lethality"
"FBXW7"	"GRIK3"	"Synthetic Lethality"
"FBXW7"	"DLC1"	"Synthetic Lethality"
"FBXW7"	"RBMX"	"Synthetic Lethality"
"FBXW7"	"PALM2-AKAP2"	"Synthetic Lethality"
"FBXW7"	"CDR2"	"Synthetic Lethality"
"FBXW7"	"LPA"	"Synthetic Lethality"
"FBXW7"	"SPDL1"	"Synthetic Lethality"
"FBXW7"	"H2AFY2"	"Synthetic Lethality"
"FBXW7"	"C5orf15"	"Synthetic Lethality"
"FBXW7"	"SENP7"	"Synthetic Lethality"
"FBXW7"	"ALKBH8"	"Synthetic Lethality"
"FBXW7"	"ZNF563"	"Synthetic Lethality"
"FBXW7"	"PRPSAP1"	"Synthetic Lethality"
"FBXW7"	"SNRPF"	"Synthetic Lethality"
"FBXW7"	"TJP2"	"Synthetic Lethality"
"FBXW7"	"RERG"	"Synthetic Lethality"
"FBXW7"	"B3GALNT2"	"Synthetic Lethality"
"GPS1"	"MAPK8"	"Phenotypic Suppression"
"GPS2"	"MAPK8"	"Phenotypic Suppression"
"HRAS"	"MAPK8"	"Phenotypic Suppression"
"TP53"	"TSNAX"	"Dosage Rescue"
"TP53"	"KIF2A"	"Dosage Rescue"
"KIF2A"	"TSNAX"	"Phenotypic Suppression"
"C10orf76"	"CLASP2"	"Synthetic Lethality"
"C10orf76"	"PTPN23"	"Synthetic Lethality"
"C10orf76"	"UBAP1"	"Synthetic Lethality"
"GOSR1"	"RHOA"	"Synthetic Lethality"
"PTAR1"	"CNIH1"	"Synthetic Lethality"
"PTAR1"	"COL4A3BP"	"Synthetic Lethality"
"PTAR1"	"EXOC2"	"Synthetic Lethality"
"PTAR1"	"EXOC4"	"Synthetic Lethality"
"PTAR1"	"FBXO8"	"Synthetic Lethality"
"PTAR1"	"IST1"	"Synthetic Lethality"
"PTAR1"	"MARCH6"	"Synthetic Lethality"
"PTAR1"	"NAA30"	"Synthetic Lethality"
"PTAR1"	"PI4KB"	"Synthetic Lethality"
"PTAR1"	"PIKFYVE"	"Synthetic Lethality"
"PTAR1"	"PPP2R2A"	"Synthetic Lethality"
"PTAR1"	"SEC24A"	"Synthetic Lethality"
"PTAR1"	"SGMS1"	"Synthetic Lethality"
"PTAR1"	"SGMS2"	"Synthetic Lethality"
"PTAR1"	"SLC35A2"	"Synthetic Lethality"
"PTAR1"	"SLMAP"	"Synthetic Lethality"
"PTAR1"	"SNAP23"	"Synthetic Lethality"
"PTAR1"	"SPTLC1"	"Synthetic Lethality"
"PTAR1"	"SPTLC2"	"Synthetic Lethality"
"PTAR1"	"SPTSSA"	"Synthetic Lethality"
"PTAR1"	"SYPL1"	"Synthetic Lethality"
"PTAR1"	"TM9SF2"	"Synthetic Lethality"
"PTAR1"	"TRAPPC11"	"Synthetic Lethality"
"PTAR1"	"TXNDC15"	"Synthetic Lethality"
"PTAR1"	"UNC50"	"Synthetic Lethality"
"PTAR1"	"VAMP3"	"Synthetic Lethality"
"PTAR1"	"VPS39"	"Synthetic Lethality"
"PTAR1"	"VPS41"	"Synthetic Lethality"
"PTAR1"	"GOSR1"	"Synthetic Lethality"
"PTAR1"	"TMEM165"	"Synthetic Lethality"
"PTAR1"	"ANKRD11"	"Synthetic Lethality"
"PTAR1"	"BRD4"	"Synthetic Lethality"
"PTAR1"	"CTDSPL2"	"Synthetic Lethality"
"PTAR1"	"CMTR2"	"Synthetic Lethality"
"PTAR1"	"GTF2I"	"Synthetic Lethality"
"PTAR1"	"KIAA0922"	"Synthetic Lethality"
"PTAR1"	"RABL3"	"Synthetic Lethality"
"PTAR1"	"RNF145"	"Synthetic Lethality"
"PTAR1"	"TAPT1"	"Synthetic Lethality"
"PTAR1"	"TMEM131"	"Synthetic Lethality"
"PTAR1"	"UBE2D3"	"Synthetic Lethality"
"PTAR1"	"ZFAT"	"Synthetic Lethality"
"RAB1A"	"TRAPPC2L"	"Synthetic Lethality"
"RAB1A"	"VPS51"	"Synthetic Lethality"
"RAB1A"	"RAB1B"	"Synthetic Lethality"
"TMEM165"	"ARPC2"	"Synthetic Lethality"
"TMEM165"	"ATP2C1"	"Synthetic Lethality"
"TMEM165"	"UBE4B"	"Synthetic Lethality"
"TMEM165"	"PPME1"	"Synthetic Lethality"
"TMEM165"	"WDR62"	"Synthetic Lethality"
"TSSC1"	"CLEC16A"	"Synthetic Lethality"
"TSSC1"	"IER3IP1"	"Synthetic Lethality"
"TSSC1"	"RAB10"	"Synthetic Lethality"
"TSSC1"	"RAB2A"	"Synthetic Lethality"
"TSSC1"	"RAB6A"	"Synthetic Lethality"
"TSSC1"	"TMEM167A"	"Synthetic Lethality"
"TSSC1"	"CTCF"	"Synthetic Lethality"
"TSSC1"	"PIK3CA"	"Synthetic Lethality"
"TSSC1"	"RPRD2"	"Synthetic Lethality"
"TMEM165"	"VPS35"	"Synthetic Lethality"
"TSSC1"	"VPS35"	"Synthetic Lethality"
"RAB1A"	"TMED10"	"Synthetic Lethality"
"TSSC1"	"TMED10"	"Synthetic Lethality"
"RAB1A"	"TMED2"	"Synthetic Lethality"
"PTAR1"	"TMED2"	"Synthetic Lethality"
"RAB1A"	"TSSC1"	"Synthetic Lethality"
"C10orf76"	"TSSC1"	"Synthetic Lethality"
"PTAR1"	"C10orf76"	"Synthetic Lethality"
"TSSC1"	"C10orf76"	"Synthetic Lethality"
"PTAR1"	"RAB1A"	"Synthetic Lethality"
"RAB1B"	"RAB1A"	"Synthetic Lethality"
"PTAR1"	"SEC23IP"	"Synthetic Lethality"
"RAB1A"	"SEC23IP"	"Synthetic Lethality"
"TSSC1"	"SEC23IP"	"Synthetic Lethality"
"PTAR1"	"COG5"	"Synthetic Lethality"
"RAB1A"	"COG5"	"Synthetic Lethality"
"TSSC1"	"COG5"	"Synthetic Lethality"
"PTAR1"	"RAB18"	"Synthetic Lethality"
"RAB1A"	"RAB18"	"Synthetic Lethality"
"RAB1B"	"RAB18"	"Synthetic Lethality"
"TSSC1"	"RAB18"	"Synthetic Lethality"
"PTAR1"	"VPS52"	"Synthetic Lethality"
"RAB1A"	"VPS52"	"Synthetic Lethality"
"RAB1B"	"VPS52"	"Synthetic Lethality"
"PTAR1"	"TRAPPC12"	"Synthetic Lethality"
"RAB1A"	"TRAPPC12"	"Synthetic Lethality"
"RAB1B"	"TRAPPC12"	"Synthetic Lethality"
"PTAR1"	"JTB"	"Synthetic Lethality"
"RAB1A"	"JTB"	"Synthetic Lethality"
"C10orf76"	"COG8"	"Synthetic Lethality"
"RAB1A"	"COG8"	"Synthetic Lethality"
"C10orf76"	"RIC1"	"Synthetic Lethality"
"PTAR1"	"RIC1"	"Synthetic Lethality"
"RAB1A"	"RIC1"	"Synthetic Lethality"
"RAB1B"	"RIC1"	"Synthetic Lethality"
"TSSC1"	"RIC1"	"Synthetic Lethality"
"C10orf76"	"COG3"	"Synthetic Lethality"
"PTAR1"	"COG3"	"Synthetic Lethality"
"RAB1A"	"COG3"	"Synthetic Lethality"
"RAB1B"	"COG3"	"Synthetic Lethality"
"TSSC1"	"COG3"	"Synthetic Lethality"
"C10orf76"	"COG7"	"Synthetic Lethality"
"PTAR1"	"COG7"	"Synthetic Lethality"
"RAB1A"	"COG7"	"Synthetic Lethality"
"RAB1B"	"COG7"	"Synthetic Lethality"
"C10orf76"	"VPS53"	"Synthetic Lethality"
"PTAR1"	"VPS53"	"Synthetic Lethality"
"RAB1A"	"VPS53"	"Synthetic Lethality"
"C10orf76"	"SECISBP2L"	"Synthetic Lethality"
"PTAR1"	"SECISBP2L"	"Synthetic Lethality"
"C10orf76"	"USP8"	"Synthetic Lethality"
"PTAR1"	"USP8"	"Synthetic Lethality"
"C10orf76"	"COG6"	"Synthetic Lethality"
"PTAR1"	"COG6"	"Synthetic Lethality"
"C10orf76"	"PTAR1"	"Synthetic Lethality"
"GOSR1"	"PTAR1"	"Synthetic Lethality"
"RAB1A"	"PTAR1"	"Synthetic Lethality"
"TMEM165"	"PTAR1"	"Synthetic Lethality"
"C10orf76"	"TRAPPC13"	"Synthetic Lethality"
"GOSR1"	"TRAPPC13"	"Synthetic Lethality"
"PTAR1"	"TRAPPC13"	"Synthetic Lethality"
"RAB1A"	"TRAPPC13"	"Synthetic Lethality"
"RAB1B"	"TRAPPC13"	"Synthetic Lethality"
"TSSC1"	"TRAPPC13"	"Synthetic Lethality"
"C10orf76"	"VPS54"	"Synthetic Lethality"
"PTAR1"	"VPS54"	"Synthetic Lethality"
"RAB1A"	"VPS54"	"Synthetic Lethality"
"RAB1B"	"VPS54"	"Synthetic Lethality"
"TSSC1"	"VPS54"	"Synthetic Lethality"
"PTAR1"	"GOLGA5"	"Phenotypic Suppression"
"KRAS"	"PIK3CA"	"Synthetic Lethality"
"KRAS"	"RAF1"	"Synthetic Lethality"
"KRAS"	"MAPK1"	"Synthetic Lethality"
"BRAF"	"MAPK1"	"Synthetic Lethality"
"KRAS"	"EGFR"	"Synthetic Lethality"
"KRAS"	"SHC1"	"Synthetic Lethality"
"KRAS"	"SOS1"	"Synthetic Lethality"
"KRAS"	"GRB2"	"Synthetic Lethality"
"CDCA5"	"SMC1A"	"Synthetic Rescue"
"BRCA1"	"WEE1"	"Negative Genetic"
"BRCA2"	"CDK9"	"Negative Genetic"
"FNTA"	"TOP1"	"Negative Genetic"
"CHEK1"	"IGF1R"	"Negative Genetic"
"CHEK1"	"VEGFA"	"Negative Genetic"
"CHEK1"	"PTEN"	"Negative Genetic"
"KDM5C"	"MAP3K1"	"Negative Genetic"
"BRCA1"	"CDH1"	"Negative Genetic"
"CDK9"	"RRM2"	"Negative Genetic"
"ALK"	"CDK9"	"Negative Genetic"
"BRCA2"	"KDM5C"	"Negative Genetic"
"BRCA1"	"BRD4"	"Negative Genetic"
"BRCA1"	"PDGFRA"	"Negative Genetic"
"BRCA2"	"HDAC6"	"Negative Genetic"
"ATM"	"SETD2"	"Negative Genetic"
"ARID2"	"RRM2"	"Negative Genetic"
"BRCA2"	"SMARCB1"	"Negative Genetic"
"IGF1R"	"PRKDC"	"Negative Genetic"
"PRKDC"	"RRM2"	"Negative Genetic"
"HDAC6"	"KDM5C"	"Negative Genetic"
"PARP1"	"RRM2"	"Negative Genetic"
"BRCA1"	"VEGFA"	"Negative Genetic"
"ARID1A"	"TOP1"	"Negative Genetic"
"MTOR"	"PDGFRA"	"Negative Genetic"
"BRD4"	"PTEN"	"Negative Genetic"
"PDGFRA"	"TOP1"	"Negative Genetic"
"BRD4"	"FGFR3"	"Negative Genetic"
"ROR1"	"TOP1"	"Negative Genetic"
"KDM5C"	"TSC1"	"Negative Genetic"
"PBRM1"	"TOP1"	"Negative Genetic"
"BRCA1"	"PARP1"	"Negative Genetic"
"MTOR"	"PRKDC"	"Negative Genetic"
"APC"	"CDK9"	"Negative Genetic"
"CHEK1"	"MTOR"	"Negative Genetic"
"BRD4"	"KDM5C"	"Negative Genetic"
"SMARCA4"	"SMARCB1"	"Negative Genetic"
"BRCA1"	"FLT3"	"Negative Genetic"
"CDKN2A"	"RRM2"	"Negative Genetic"
"HDAC6"	"IGF1R"	"Negative Genetic"
"CHEK2"	"ERBB2"	"Negative Genetic"
"BRD4"	"DHFR"	"Negative Genetic"
"BRCA1"	"FNTA"	"Negative Genetic"
"KDM5C"	"MTOR"	"Negative Genetic"
"ROR1"	"SMARCB1"	"Negative Genetic"
"BRD4"	"RB1"	"Negative Genetic"
"CHEK1"	"SMO"	"Negative Genetic"
"CDK9"	"SMARCB1"	"Negative Genetic"
"BRCA1"	"RUNX1"	"Negative Genetic"
"KDM5C"	"WEE1"	"Negative Genetic"
"ATM"	"KDM6A"	"Negative Genetic"
"TOP1"	"TSC1"	"Negative Genetic"
"MAP3K1"	"VHL"	"Negative Genetic"
"SMAD4"	"WEE1"	"Negative Genetic"
"CHEK1"	"PARP1"	"Negative Genetic"
"IGF1R"	"MTOR"	"Negative Genetic"
"ERBB2"	"TOP1"	"Negative Genetic"
"CDKN2A"	"IGF1R"	"Negative Genetic"
"HDAC6"	"PBRM1"	"Negative Genetic"
"ATM"	"SMO"	"Negative Genetic"
"CHEK1"	"PRKDC"	"Negative Genetic"
"PRKDC"	"VHL"	"Negative Genetic"
"CHEK1"	"TYMS"	"Negative Genetic"
"CHEK1"	"PIK3CA"	"Negative Genetic"
"CHEK1"	"SMARCA4"	"Negative Genetic"
"GATA3"	"WEE1"	"Negative Genetic"
"ADA"	"CHEK1"	"Negative Genetic"
"PIK3CA"	"RRM2"	"Negative Genetic"
"RRM2"	"WEE1"	"Negative Genetic"
"CDK9"	"RUNX1"	"Negative Genetic"
"CDK9"	"ROR1"	"Negative Genetic"
"AKT1"	"CHEK1"	"Negative Genetic"
"CDK4"	"VHL"	"Negative Genetic"
"TSC1"	"VHL"	"Negative Genetic"
"CHEK1"	"VHL"	"Negative Genetic"
"APC"	"VHL"	"Negative Genetic"
"CASP8"	"CHEK1"	"Negative Genetic"
"CASP8"	"CDK9"	"Negative Genetic"
"CDKN1B"	"VHL"	"Negative Genetic"
"KDM5C"	"VHL"	"Negative Genetic"
"ARID2"	"VHL"	"Negative Genetic"
"ARID1A"	"CHEK1"	"Negative Genetic"
"CDK4"	"HDAC1"	"Negative Genetic"
"JAK2"	"PIK3R1"	"Negative Genetic"
"PTEN"	"VHL"	"Negative Genetic"
"BRCA1"	"CHEK1"	"Negative Genetic"
"ATM"	"VHL"	"Negative Genetic"
"MTOR"	"SMAD4"	"Negative Genetic"
"PIK3R1"	"WEE1"	"Negative Genetic"
"BRAF"	"FGFR2"	"Negative Genetic"
"BRD4"	"MAP2K1"	"Negative Genetic"
"PDGFRA"	"VHL"	"Negative Genetic"
"BRAF"	"BRCA2"	"Negative Genetic"
"BRAF"	"VHL"	"Negative Genetic"
"CHEK1"	"MAP2K1"	"Negative Genetic"
"RRM2"	"VHL"	"Negative Genetic"
"HSP90AA1"	"WEE1"	"Negative Genetic"
"HSP90AA1"	"VHL"	"Negative Genetic"
"FGFR2"	"MAP3K1"	"Negative Genetic"
"KDM6A"	"MSH6"	"Negative Genetic"
"CDK9"	"PIK3CA"	"Negative Genetic"
"BRAF"	"FNTA"	"Negative Genetic"
"CDK9"	"SMAD4"	"Negative Genetic"
"CDKN1B"	"IGF1R"	"Negative Genetic"
"CDK9"	"CHEK1"	"Negative Genetic"
"ARID1A"	"VHL"	"Negative Genetic"
"ATM"	"CHEK1"	"Negative Genetic"
"CHEK2"	"KMT2D"	"Negative Genetic"
"MAP2K1"	"VHL"	"Negative Genetic"
"CHEK1"	"SRC"	"Negative Genetic"
"MTOR"	"TOP1"	"Negative Genetic"
"CDK4"	"PRKDC"	"Negative Genetic"
"AKT1"	"PRKDC"	"Negative Genetic"
"PIK3R1"	"VHL"	"Negative Genetic"
"CDK4"	"CHEK2"	"Negative Genetic"
"CASP8"	"MTOR"	"Negative Genetic"
"HDAC2"	"SMARCA4"	"Negative Genetic"
"HDAC6"	"PIK3CA"	"Negative Genetic"
"APC"	"SMARCB1"	"Negative Genetic"
"MTOR"	"PTEN"	"Negative Genetic"
"FGFR3"	"VHL"	"Negative Genetic"
"BRCA1"	"TOP1"	"Negative Genetic"
"PDGFRA"	"RRM2"	"Negative Genetic"
"FGFR3"	"FNTA"	"Negative Genetic"
"SMARCB1"	"VHL"	"Negative Genetic"
"BRAF"	"HDAC2"	"Negative Genetic"
"FNTA"	"KDM6A"	"Negative Genetic"
"BRCA1"	"RB1"	"Negative Genetic"
"CDK6"	"VHL"	"Negative Genetic"
"ERBB2"	"RRM2"	"Negative Genetic"
"KIT"	"RPS6KB1"	"Negative Genetic"
"BRAF"	"PIK3CA"	"Negative Genetic"
"RPS6KB1"	"RRM2"	"Negative Genetic"
"BRCA1"	"HDAC2"	"Negative Genetic"
